wave,flux
3875.6374734352094,3610.8609112547706
3875.6480741801856,3207.762939049164
3875.658674954153,3713.800589151506
3875.669275757116,5368.240274141251
3875.6798765890744,4869.531541421079
3875.690477450032,5432.151831926138
3875.7010783399824,5897.276055395138
3875.711679258928,6946.025260891125
3875.7222802068736,7481.300514689064
3875.7328811838115,7665.27395927679
3875.743482189745,7429.2196392456535
3875.754083224675,7802.992203794186
3875.764684288605,9099.479880037601
3875.7752853815273,7044.209284334386
3875.7858865034464,6886.945037274273
3875.7964876543615,6346.437143455842
3875.8070888342772,5427.88467408449
3875.817690043186,4571.704939179181
3875.828291281091,3994.9239021755056
3875.8388925479967,3992.1932387111597
3875.8494938438953,3352.858289790689
3875.8600951687913,2639.739712080103
3875.870696522684,3492.5644030157127
3875.881297905578,2340.438934667851
3875.891899317465,2172.6558374134474
3875.902500758349,3709.4231044122134
3875.9131022282345,4269.13928371534
3875.9237037271137,5382.925107491261
3875.9343052549902,6335.720686345827
3875.9449068118643,7138.771781075861
3875.95550839774,7695.557466745027
3875.9661100126095,8142.216538174893
3875.9767116564767,7937.252827725838
3875.9873133293418,8181.828800841002
3875.9979150312092,9191.633502789016
3876.0085167620705,7979.7225961994845
3876.0191185219296,9381.203518808703
3876.029720310791,8732.92025151325
3876.040322128647,8756.239137677068
3876.0509239755015,9136.260395605525
3876.061525851354,8522.047924669227
3876.0721277562093,7760.136482868111
3876.082729690059,6955.678766106605
3876.0933316529076,7829.5788950516135
3876.103933644759,7590.697334356606
3876.1145356656048,6923.558615794521
3876.12513771545,5045.754592678277
3876.135739794294,4565.445885065709
3876.146341902141,4779.56477464037
3876.1569440389835,2563.574583498994
3876.1675462048247,3699.487248068792
3876.1781483996656,3762.290493023582
3876.18875062351,3533.27093241259
3876.1993528763496,3385.8657060312107
3876.209955158189,4115.4049072156195
3876.220557469032,5584.350319424295
3876.2311598088704,6393.346192517552
3876.241762177709,6637.751756008715
3876.2523645755473,7405.718318919651
3876.2629670023894,7433.708113502944
3876.273569458228,7299.459035077131
3876.284171943066,7605.507978328504
3876.2947744569087,7994.672900051576
3876.3053769997478,8122.115712340455
3876.315979571587,7916.90838778636
3876.3265821724267,6880.2441507821195
3876.3371848022707,5290.858114827074
3876.3477874611117,4482.889415031765
3876.3583901489533,3604.7254960406576
3876.3689928657955,3455.0408905734075
3876.3795956116423,3321.63377999037
3876.390198386486,2775.3701518382877
3876.400801190331,3761.4874899163838
3876.411404023181,3293.862957994104
3876.422006885028,3048.614365205518
3876.4326097758767,3494.9186175746145
3876.4432126957263,3478.0048100849385
3876.4538156445815,3099.4640377570176
3876.4644186224336,3548.0683349500177
3876.4750216292878,4363.819472045172
3876.4856246651475,4175.578423309605
3876.4962277300046,5318.870364483097
3876.506830823864,6861.364714838796
3876.517433946725,7346.804964216076
3876.528037098592,7006.86317182437
3876.538640279457,8060.860356494785
3876.549243489324,9099.169998110621
3876.5598467281934,7450.807658941485
3876.570449996069,8626.516216531163
3876.5810532929427,8808.721072791845
3876.591656618819,7615.240512436953
3876.6022599737016,8666.287879838841
3876.6128633575827,8961.528648962965
3876.6234667704666,7376.5990546980165
3876.6340702123534,7123.843583316193
3876.6446736832468,6947.638612434152
3876.6552771831393,8226.710736686946
3876.665880712035,8514.556081099667
3876.676484269937,8479.823775373283
3876.687087856839,8569.802692982019
3876.6976914727434,8150.417813888403
